病原名称,拉丁名称,生物分类编号,同义词,病原体类型,病原体分类,世系信息,病原危害程度分类,生物安全等级,形态结构,图片,宿主分布,传播方式,易感性因素,人际传播力,致病力,相关疾病,人畜共患病,疾病等级,病死率,感染组织,疾病潜伏期,临床表型,流行季节,流行地域,历史爆发情况,参考基因组,参考基因组链接,GC含量（%）,基因组大小,分型,人类宿主受体,宿主结合蛋白,毒力因子,检测方法,疫苗有无,疫苗信息描述,药物有无,药物信息描述,抗原,灭活方法,,,,,
罗西奥病毒,"Orthoflavivirus ilheusense;
Rocio virus;
ILHV;
ROCV",64315,伊列乌斯病毒,病毒,单链RNA病毒,Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthoflavivirus; Orthoflavivirus ilheusense; Ilheus virus,2,BSL-3,,"https://www.european-virus-archive.com/protein/rocio-virus-envelope-domain-iii-recombinant-protein

https://www.researchgate.net/figure/Detection-of-cytokines-in-nervous-tissue-cells-after-Rocio-virus-ROCV-infection-A_fig9_51544744",“鸟类是天然的宿主和扩增宿主，ROCV在自然界中以蚊子-鸟-蚊子传播循环的方式维持，主要涉及白蛉蚊子。”“ROCV很可能是在蚊子-鸟-蚊子的传播循环中维持在自然界中，而人类是偶然的终端宿主。”,它是通过蚊子传播的，主要是一种Psorophora ferox，在鸟-蚊子-鸟的循环中传播,"该研究显示，与前几年相比，人群中黄病毒特异性抗体的患病率有所增加[53,54]，与森林地区密切接触的男性的发病率高于女性，这表明在远离家园的地方更有可能暴露于ROCV[3]。至关重要的是，该研究还表明，ROCV传播中没有人际传播的证据，这加强了由食血昆虫传播的概念，人类是偶然的终端宿主。
随后在里贝拉谷进行的血清学调查一致表明，虫媒病毒感染的流行率很高，随着年龄的增长，流行率逐渐增加。有趣的是，渔民和居住在沿海城市的儿童的ROCV患病率很高，其中两人显示出最近感染的证据，这表明ROCV在城市传播[55,56,57]。",没有证据表明 ROCV 存在人际传播，这进一步证实了吸血昆虫传播以及人类是偶然的死端宿主的观点。,,突发性发热、小脑综合征和癫痫、脑炎、昏迷并伴有呼吸系统并发症、精神后遗症、神经和心理后遗症等,是,,13%（巴西圣保罗州),中枢神经系统,7-14天,患者表现为突发性发热、剧烈头痛、厌食、恶心、呕吐、肌痛、不适，严重者出现麻木、昏迷并伴有呼吸系统并发症[3]。脑炎的晚期症状包括精神错乱、反射障碍、运动障碍、脑膜刺激、小脑综合征和癫痫发作。20%的患者出现神经精神方面的后遗症:视觉、嗅觉、听觉障碍、运动协调能力不足、平衡障碍、吞咽困难、尿失禁和记忆缺陷[3]。ROCV感染的死亡率为10%,夏季和雨天 ,罗西奥病毒(ROCV)是一种蚊媒黄病毒和人类病原体。该病毒原产于巴西，于1975年首次在圣保罗州被发现，在两年的时间里，在沿海社区造成了几次脑膜脑炎流行，导致100多人死亡。,"1975 年至 1976 年间，罗西奥病毒在巴西圣保罗南部沿海社区导致了数起脑膜脑炎流行。[ 3 ]疫情影响了 1,000 多人，造成约 10% 的感染者死亡，但病毒性脑炎治疗似乎效果良好。[ 4 ] [ 5 ]该病发病后进展迅速，患者在出现症状后 5 天内死亡。该病首先表现为发烧、头痛、呕吐和结膜炎，然后发展为神经系统症状（意识模糊、定向障碍等）和肌肉无力；大约三分之一的病例会进入昏迷，其中三分之一的患者死亡，[ 4 ] [ 5 ]但重症护理和对症治疗等支持治疗可能会将病死率降低至 4%。[ 6 ]约有 20% 的幸存者会出现神经和心理后遗症。","GCA_004128575.1;  
GCA_004786495.1",https://www.ncbi.nlm.nih.gov/datasets/genome/?taxon=64315,,10794 bp ,病原罗西奥病毒属于黄病毒科黄病毒属（与寨卡病毒同属），在血清学上与伊列乌斯脑炎病毒、圣路易斯脑炎病毒、日本脑炎病毒和默里谷脑炎病毒密切相关。,,CCR5(CC-chemokine receptor 5) / MIP-1α (macrophage inflammatory protein),NS1 protein (non-structural protein 1,罗西奥病毒 （ROCV） 是巴西可能出现的一种嗜神经性黄病毒;然而，由于对这种病毒的生物学知之甚少，其检测技术有限,无,,无,,此外，检测到的 NS5 ROCV 基因 （ROCV 18） 与日本脑炎病毒复合体中的 Ilheus 病毒有关，并且没有像以前报道的那样改变与其他致病性黄病毒的系统发育树的拓扑结构 ,,"[1]https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=64315&lvl=3&lin=f&keep=1&srchmode=1&unlock
[2]https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3052466
[3]https://en.wikipedia.org/wiki/Rocio_viral_encephalitis
[4]https://www.mdpi.com/1999-4915/13/11/2293
[5]https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fwjw.fujian.gov.cn%2Fjggk%2Fcsxx%2Fkjjyc%2Fswaq_202112%2F202406%2FP020240624639399447309.docx&wdOrigin=BROWSELINK
[6]https://www.european-virus-archive.com/protein/rocio-virus-envelope-domain-iii-recombinant-protein
[7]https://www.researchgate.net/figure/Detection-of-cytokines-in-nervous-tissue-cells-after-Rocio-virus-ROCV-infection-A_fig9_51544744
[8]https://www.ncbi.nlm.nih.gov/datasets/genome/?taxon=64315
[9]https://www.ncbi.nlm.nih.gov/nuccore/MF461639.1
[10]https://pubmed.ncbi.nlm.nih.gov/24080631/
[11]https://link.springer.com/article/10.1007/s00705-017-3561-4
[12]https://wwwnc.cdc.gov/eid/article/26/4/19-0487_article",,,,
麻疹病毒,Morbillivirus hominis,3052345,,病毒,RNA病毒,Viruses;?Riboviria;?Orthornavirae;?Negarnaviricota;?Haploviricotina;?Monjiviricetes;?Mononegavirales;?Paramyxoviridae;?Orthoparamyxovirinae;?Morbillivirus,,,,,人类,飞沫传播,儿童,高度,高度,麻疹,否,中国法定乙类传染病,,,6-18天,发热、上呼吸道炎症、咳嗽、结膜炎、皮肤出现红色斑丘疹等,10月至次年2月,,2022年我国麻疹发病例数为552例，无死亡人数。?[4],GCF_000854845.1,https://www.ncbi.nlm.nih.gov/nuccore/9626945,47.5,15.9 kb,无,,,,检测血清麻疹抗体,有,麻疹减毒活疫苗。麻疹通过接种麻疹、腮腺炎、风疹三联疫苗（MMR疫苗）来预防，其两剂预防有效率为97%（一剂有效率为93%）,无,,,紫外线、过氧乙酸、甲醛、乳酸和乙醚等对麻疹病毒均有杀灭作用,,,,,
马亚罗病毒,Mayaro virus,59301,马雅罗病毒,病毒,单链RNA病毒,K_?Viruses?| P_?Kitrinoviricota?| C_?Alsuviricetes?| O_?Martellivirales?| F_?Togaviridae?| G_?Alphavirus?| S_?Mayaro virus,第二类,BSL-3,,,脊椎动物/蚊,蚊虫叮咬,,,,马雅罗病毒病/马雅罗热,是,,,血液/体液,,发热、头痛、肌痛、关节痛、寒战、皮疹、眼痛、淋巴结病、腹痛、恶心、呕吐,,持续流行(美洲),,GCF_000863385.1?,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000863385.1/,49.7 ~ 51.2,11.4 kb,,,,,,,,,,,,[1] 35151887?,,,,
米德尔堡病毒,Middelburg virus,11023,密德堡病毒 ,病毒,单链RNA病毒,K_ Viruses | P_ Kitrinoviricota | C_ Alsuviricetes | O_ Martellivirales | F_ Togaviridae | G_ Alphavirus | S_ Middelburg virus,第二类,BSL-3,,,节肢动物，哺乳动物，人类,蚊虫传播,未知,,,,是,,,"脑脊液,血液/体液",,,,持续流行(非洲),,GCF_000921735.1 ,https://www.ncbi.nlm.nih.gov/nuccore/685497472,52.4 ~ 53.0,11.6 kb,,,,,,No,,,,,,34979534?,,,,
穆坎布病毒,Mucambo virus,60875,穆坎博病毒,病毒,单链RNA病毒,K_?Viruses?| P_?Kitrinoviricota?| C_?Alsuviricetes?| O_?Martellivirales?| F_?Togaviridae?| G_?Alphavirus?| S_?Mucambo virus,第二类,BSL-3,,,哺乳动物/爬行动物/蚊,蚊虫传播,,,,,是,,,,,发热、头痛、乏力、肌痛,,持续流行(南美),,GCF_002829885.1?,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002829885.1/,48.2,11.4 kb,,,,,,,,,,,,[1]14292756 ,,,,
内罗毕绵羊病病毒,Orthonairovirus nairobiense,3052529,,病毒,单链RNA病毒,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,第二类,BSL-3,,,节肢动物,,,,,,,,,,,,,,,GCF_002117695.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002117695.1/,40.3 ~ 44.2,18.7kb,,,,,,,,无,,,,,,,,
尼帕病毒,Henipavirus nipahense,3052225,"Nipah henipavirus,Nipah virus,Nipah-virus",病毒,反义单链RNA病毒,"Viruses,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,Paramyxoviridae,Orthoparamyxovirinae,Henipavirus,Henipavirus nipahense",I,BSL-4,包膜病毒，球形的。直径150纳米。,https://viralzone.expasy.org/85,飞狐、蝙蝠、人,"直接接触：接触飞狐及其含尿液成分、
胎盘传播[1]",儿童、孕妇、免疫缺陷者易感。绝大多数免疫功能正常的人群，感染猴痘后会获得持久的免疫力，通常不会发生二次感染。,中传染性,中致病性,呼吸道疾病、发烧、头痛，脑炎,是,中国法定甲类传染病,人（57%）马（75-80%）,肺、脑、肾脏、淋巴组织,人（5-21天）；马（4-16天）,人类的症状包括发烧、咳嗽、疲劳、肌痛、头痛和眩晕。该病可发展为脑炎(嗜睡、癫痫发作、共济失调)，,无季节规律,"Australia, Malaysia","自1994年发现该病毒以来，已有7例由该病毒引起的人类疾病病例。四例是致命的（死亡率为57%），三名患者康复后没有复发。其中一名患者有致命的复发，表现为急性脑炎。
马经常表现出急性呼吸道疾病和/或神经系统疾病的迹象，该疾病进展迅速，通常在症状出现后2-3天导致死亡。在各种组织（如肺、脑、淋巴组织和肾脏）中引起肺炎和血管炎。马匹的死亡率估计为75-80%。狗在自然界中很少被感染，并且没有明显的临床感染迹象。",GCF_000863625.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000863625.1/,18.2-38.6,18 Kb,no, EFNB2 EFNB3,attachment protein and fusion protein,no,"病毒培养、电镜检测、核酸检测：聚合酶链式反应(PCR)；
",有,在澳大利亚有马用的疫苗，人体没有批准的，但是有一种人单克隆抗体(m102.4)正在进行人体临床试验，并已根据紧急使用方案给暴露于HeV的人使用,Remdesivir ,利巴韦林和氯喹在体外具有抗病毒活性，暂没有临床效果. 4′-阿齐多胞苷（R1479）在体外显示对HeV的抗病毒活性，LJ001在体外抑制了其他包膜单链RNA病毒。HeV特异性单克隆抗体（m102.4）在体内对HeV感染表现出有效果。,no,,[1] 38399971,,,,
萨哈林病毒（幌筵岛病毒）,Paramushir virus,1453409,,病毒,单链RNA病毒,Viruses;?Riboviria;?Orthornavirae;?Negarnaviricota;?Polyploviricotina;?Ellioviricetes;?Bunyavirales;?Nairoviridae;?Orthonairovirus;?unclassified Nairovirus,第二类,BSL-3,,,蜱,,,,,,是,,,,,,,,,No data,,,,,,,,,,,,,,,36091847?,,,,
塞皮克病毒,Sepik virus,44026,,病毒,单链 RNA病毒,Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthoflavivirus; Orthoflavivirus sepikense,II,BSL-3,环状包膜病毒，在核衣壳中表现出二十面体对称性。病毒粒子相对较小，直径仅为 50 nm 左右。病毒颗粒包含三种主要结构蛋白;有两种膜相关蛋白，包膜蛋白 （E） 和膜蛋白 （M）。,无,节肢动物,"媒介生物：如蚊子；
宿主是塞皮克病毒唯一已知的来源",无,塞皮克病毒无法在人群中存活，因此无法通过蚊子媒介在人与人之间传播,低致病性,发热性疾病,Yes, ,,,,非严重发热,无,塞皮克病毒的地理分布范围仅限于巴布亚新几内亚。,无,GCF_000868725.1 ,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000868725.1/,47.3 ~ 47.3,10.8 kb,,,包膜蛋白（E）[1],,"无针对此病毒的标准化检测方法，可采用一般的虫媒病毒诊断测试，可能导致与其他虫媒病毒或非虫媒病毒感染的交叉反应.
核酸检测： 核酸扩增检测 （NAAT），例如逆转录聚合酶链反应 （RT-PCR），可以确认患者样本中存在病毒的遗传物质 （RNA）。

抗原检测：酶联免疫吸附试验 （ELISA）、补体结合 （CF）、中和试验 （NT） 和血凝抑制试验 （HI） 可用于检测机体响应塞皮克病毒感染而产生的特异性抗体。 
",,,,,,,[1]29137162,,,,
圣路易斯脑炎病毒,Orthoflavivirus louisense,3052468,St.Louis ? encephalitis virus,病毒,正义单链RNA病毒,"Viruses,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,Rhabdoviridae,Alpharhabdovirinae,Lyssavirus,Lyssavirus rabies",1,BSL-3,无,无,人类、蝙蝠、野鸟、家禽、虎鲸、啮齿动物，可能还有其他哺乳动物，野生鸟类是主要的脊椎动物宿主，会立即产生足以感染蚊媒的病毒组学反应，但在感染后不会发展为明显的疾病,人类感染的主要来源是蚊子-野生鸟类的传播周期。受感染的蚊子通过叮咬受感染的动物宿主，然后叮咬人类宿主（或其他动物宿主）来传播病毒。已知传播系统性红斑狼疮病毒的主要蚊子种类是?Culex pipiens、Culex quinquefasciatus、Culex、nigripalpus?和?Culex tarsalis,蚊子多的地方,低,,高血压和血管疾病,是,,5-20%,脑,4 – 21 天,大多数感染无症状或导致短期轻度不适，尤其是在年轻人或中年人中. 感染引起的临床疾病可能包括脑炎、脑膜脑炎、脑脊髓炎、高热、意识改变、神经功能障碍、无菌性脑膜炎、颈部僵硬、头痛、肌痛、震颤、恶心、呕吐和尿路感染.症状发作通常是急性的，并可能自发消退.临床疾病的严重程度和死亡率（而不是感染率）随着年龄的增长而增加，在 60 岁以上的人群中最为普遍.高血压和血管疾病可能是感染的危险因素。根据对黄病毒属其他成员的观察，免疫功能低下的个体也可能患重病的风险更大.病死率 5-20%，急性疾病后可能出现 30-50% 的病例恢复期延长,温带地区的夏中至夏末或初秋,圣路易斯脑炎病毒分布于北美洲、南美洲和中美洲,报告病例最多的是在 1974 年至 1976 年期间，当时超过 12 次爆发导致加拿大和美国官方报告的病例超过 2000 例病例主要发生在温带地区的夏中至夏末或初秋，在较温和的气候中可全年发生.较高的温度可能会增加传播季节的长度，相对于居民数量而言，蚊子数量最多的地区（即农村地区）可能面临更大的感染风险,GCF_000866785.1?,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000866785.1?/,42.4 ~ 49.9,10.9  Kb,,,,no,监测症状并通过血清学确认。SLEV 抗体滴度可通过血清学检测或腰椎穿刺来确定,无,Imovax Rabies，人类二倍体细胞疫苗(HDCV)，或RabAvert，一种纯化鸡胚细胞疫苗(PCECV)。,有,无,无,70%的乙醇、苯酚、福尔马林、乙醚、胰蛋白、β-丙酮和其他一些洗涤剂而灭活，不耐受pH值（低于3或高于11），并被紫外线灭活,,,,,
塔姆德病毒,Orthonairovirus tomdiense,3052538,,病毒,RNA病毒,Viruses;?Riboviria;?Orthornavirae;?Negarnaviricota;?Polyploviricotina;?Ellioviricetes;?Bunyavirales;?Nairoviridae;?Orthonairovirus,第二类,BSL-3,,,节肢动物,,,,,,是,,,,,,,,,GCF_018595155.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_018595155.1/,45.0 ~ 45.3,17.5 kb,,,,,,,,无,,,,,,,,
天花病毒,Variola virus,10255,"smallpox,smallpox virus,small pox virus,variola virus VAR",病毒,双链DNA病毒,"Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,Variola virus",1,BSL-4,电子显微镜下形状像砖块，大小300 x 250 x 200 nm。双层膜,https://baike.baidu.com/pic/天花病毒/3111182/0/a71ea8d3fd1f4134aa10446d261f95cad1c85ef9?fr=lemma&fromModule=lemma_content-image#aid=0&pic=a71ea8d3fd1f4134aa10446d261f95cad1c85ef9,"Aquatic birds, Human, Pig, Horse, Seals","直接接触：接触
间接接触：飞沫传播",人体没有对这种病毒的免疫力,高传染性,高传染性,肺炎、腹泻、多脏器衰竭,是,中国法定丙类传染病,6%-7%,肺,1-7 天,在感染后患者会伴有发热、全身酸痛、腹痛和腹泻等症状。如果出现突然高热、继发严重并发症，甚至可能导致死亡。,季节交替,全球性分布,1918～1920年大流行 此次流行的首发于1918年1月美国东部，1918年4月在法国军队中流行，以后迅速蔓延，波及全球。此次大流行被称为人类历史上最大的瘟疫，造成的死亡总数估计约5000万人。2009年4月25日，突然传出猪流感在墨西哥爆发状况。2009年，H1N1流感在美国大面积爆发，并蔓延到214个国家和地区，导致近20万人死亡。,GCF_001343785.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001343785.1/,,13.5 Kb,猪流感、禽流感和人流感,,血球凝集素（Hemagglutinin）第1型、神经氨酸酶（Neuraminidase）第1型,,"核酸检测：聚合酶链式反应(PCR)；
抗原检测：酶联免疫吸附试验(ELISA)",有,"1 猪流感全病毒灭活疫苗,猪流感灭活疫苗能有效保护断奶仔猪和种猪抵抗SI，使发病率降低30%～70%，使死亡率降低60%～87%。这类疫苗在欧美多个国家已实现商品化供应，例如Intervet公司的End－FLUence（with Imugen）和End FLUence（with Microsol Diluvac Forte），Pfizer公司的FluSure，以及Schering Plough动物保健公司的MaxiVac-FIu、MaxiVac Excell 3等等 2）人群中已开始全面使用第3代全裂解流感病毒亚单位疫苗",奥司他韦与扎那米韦,奥司他韦是神经氨酸酶抑制剂,血球凝集素（Hemagglutinin）第1型、神经氨酸酶（Neuraminidase）第1型,,,,,,
跳跃病病毒,Orthoflavivirus loupingi,3048184,Louping ill virus,病毒,正链单链RNA病毒,"Viruses,Riboviria,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Orthoflavivirus,Orthoflavivirus",1,BSL-4,enveloped RNA virus of 40-50 nm,无,羊、牛、鹿、猪、马、山羊、羊、骆马、狗、 山兔和小型哺乳动物，如普通鼩鼱和木鼠、红琴鸡是自然的最终宿主,在人类中，黄病毒可以通过受感染的蜱虫叮咬而传播，但大多数病例是由于吸入、处理受感染的动物以及在实验室环境或屠宰场中的穿透伤引起的,no,低传染性,无,在人类中，LIV 感染通常无症状或表现为单相或双相34.流感样症状，包括发烧、头痛和肌肉僵硬，持续 2 至 12 天24.在大约 5 天的无症状间隔后，一些患者的疾病进展为脑炎期24.脑膜脑炎或麻痹性脊髓灰质炎的症状恶化（例如发热、剧烈头痛、呕吐）和神经系统体征（例如颈部僵硬、震颤或头部/四肢）,是,无,1例,中枢神经系统和脑膜,绵羊的潜伏期平均为 8-13 天，在人类中大约 1 周,在人类中，LIV 感染通常无症状或表现为单相或双相.流感样症状，包括发烧、头痛和肌肉僵硬，持续 2 至 12 天.在大约 5 天的无症状间隔后，一些患者的疾病进展为脑炎期.脑膜脑炎或麻痹性脊髓灰质炎的症状恶化（例如发热、剧烈头痛、呕吐）和神经系统体征（例如颈部僵硬、震颤或头部/四肢,无季节规律,除澳大利亚、英国、新西兰、日本等岛屿国家外其他国家和地区都有,LIV 是一种罕见的人类疾病;报告的病例少于 50 例.在动物中，LIV 主要影响绵羊，主要局限于英国的高地放牧区，那里是地方性动物病;然而，挪威、丹麦和西班牙也发生了牲畜 LIV 病.1999 年至 2012 年间，绵羊确诊了 506 例 LIV 病例,GCA_000863165.1,https://www.ncbi.nlm.nih.gov/datasets/genome/?taxon=3048184,54.85236,11  Kb,无,,,no,LIV 抗体的血清学检测，包括补体结合、中和、血凝抑制和 ELISA，组织病理学检查，逆转录酶 PCR,无,,无,无,无,1% 次氯酸钠、2% 戊二醛、70% 乙醇、多聚甲醛、碘伏和 3-6% 过氧化氢敏感，在 56°C 下在 30 分钟内完全灭活，易受紫外线和极端 pH 值 （pH ≥ 9） 的影响,[1] 34217155,,,,
伪狂犬病病毒,Pseudorabies virus，PRV,101947,"Pseudorabies virus strain Ea
Suid herpesvirus 1 (strain Ea)",病毒,双链DNA病毒,Viruses; Duplodnaviria; Heunggongvirae; Peploviricota; Herviviricetes; Herpesvirales; Orthoherpesviridae; Alphaherpesvirinae; Varicellovirus; Varicellovirus suidalpha1; Suid alphaherpesvirus 1,3,BSL-2,病毒粒子呈椭圆形或圆形，其基因组为约150 kb的线性双链DNA分子，带包膜的成熟病毒粒子的直径约150~180 nm，包膜表面有呈放射状排列的刺突，其长度约8~10 nm,,宿主范围广泛，包括猪、牛、绵羊、山羊、猫、狗等。,间接接触：如飞沫传播、空气传播、食物和水源传播等。,,伪狂犬病毒可感染人而导致脑炎、视网膜炎。,分离获得一株猪伪狂犬病毒，经鉴定该分离株为流行变异株，而且具有较强的致病力,伪狂犬病; 人急性脑炎; 病猪的神经病理学改变为脑脊髓炎与神经节炎,是,乙类传染病,脑炎病人的死亡率高达5%至10%; 日本出现疾病症状者的病死率可高达30%,脑,猪感染一般为3～6天；人感染中位潜伏期为7天,"病猪的神经病理学改变为脑脊髓炎与神经节炎。人类重症病毒性脑炎。人类PRV脑炎具有较特征性的临床表现与神经影像学改变：患者主要为从事生猪产业并有病猪接触史，急性起病，发热、头痛、癫痫发作、意识障碍，可合并视网膜炎。影像学提示大脑灰质受累为主的坏死性脑炎，受累部位包括边缘系统、基底节与脑干等，阿昔洛韦或者更昔洛韦治疗可能有效[5,7]。",伪狂犬病可以一年四季发病，其中寒冷季节和母猪产仔较旺的季节容易发病,福建、山东、天津,2011年10月，首先在天津、河南、河北、山东等养殖密度较大的华北地区开始；2012年3月，蔓延至安徽、江苏、上海等华东地区，11月在广东、广西暴发；2013年4月，我国中东部十余个省市开始大面积暴发；2014年，已蔓延至全国，但主要流行在东北、华中、华北、华东等养猪密集地区。,BU001744,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC303424/,,"143,461 bp",PRV存在两个基因型，分别是G1和G2，而在我国流行的是G2型。通过对gC基因的进化树分析发现，欧美分离株可归为一个大分支，被归类为基因I型；而中国分离株与韩国分离株则可归为另一个大分支，属于G2型。G2型又可以分为两个小分支。2010年之前分离的毒株与MinA株以及Ea株代表的亲缘关系较近，处于同一个小分支内，这些被认为是经典毒株（2.1亚型）；而2012年之后分离的流行毒株则更为相近，与之前提到的MinA株和Ea株的亲缘关系较远，处于另一个分支中，这些则被称为伪狂犬变异毒株（2.2亚型）。,人源nectin-1,NPSR, tk和gE基因,实时荧光PCR法,有,灭活疫苗和弱毒活疫苗,有,Torin1自噬诱导剂,伪狂犬病病毒gE蛋白,用甲醛灭活,,,,,
委内瑞拉马脑炎病毒,Venezuelan equine encephalitis virus,11036,"Venezuelan equine encephalomyelitis, VEEV, VEE, Venezuelan equine fever, arbovirus",病毒,正义单链RNA病毒,"Viruses,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Venezuelan",1,BSL-3,,,马和人类是最常见的宿主;然而，其他各种动物已被证明容易受到感染；这些包括猫、狗、牛、山羊、猪、啮齿动物和鸟类等哺乳动物,?VEE 病毒最常通过受感染的蚊子叮咬传播，但它也通过气溶胶具有很强的传染性； VEE 病毒最常通过受感染的蚊子叮咬传播，但它也通过气溶胶具有很强的传染性,no,低传染性,低致病性,脑炎，脑、肺和胃肠道出血，,是,,0.01,4-14%中枢神经系统,几天到7年以上，75%患者在接触后90内发病,在人类中，这种病毒通常会引起轻度至重度流感样症状，但 4-14% 的病例会出现神经系统并发症2.儿童和年轻人更容易因感染而患上脑炎;然而，人类死亡病例很少见，约占所有报告病例的 1%，在接触病毒后 2 至 5 天，头痛、肌痛、疲劳、呕吐、恶心、腹泻、咽炎和发烧等流感样症状会突然出现3.VEE 病毒还可引起眶后和枕部头痛以及白细胞减少症和心动过速3.脑炎的症状仅在少数病例中出现，发生在暴露后 4-10 天，包括嗜睡、抽搐、意识模糊、畏光和昏迷。致命的人类病例通常是由脑炎以及脑、肺和胃肠道出血引起的.这种病毒可造成长期的神经损伤，并可感染孕妇的胎儿，导致出生缺陷和死产4.通常，症状持续 3 至 8 天，并且可能是双相的，在初始症状后 4 至 8 天复发,无季节规律,除澳大利亚、英国、新西兰、日本等岛屿国家外其他国家和地区都有,"VEE 病毒的流行性动物病和地方性动物病菌株范围从阿根廷北部到佛罗里达州和落基山脉的部分地区;然而，它在南美洲北部最为普遍.该病毒于 1935 年在哥伦比亚、委内瑞拉和特立尼达爆发后首次在马身上观察到，并于 1938 年被分离出来.在 1960 年代，哥伦比亚报告了超过 200,000 例人类病例和 100,000 匹马死亡，委内瑞拉和墨西哥发生了较小的流行病.1995 年，委内瑞拉和哥伦比亚报告了 75,000 至 100,000 例感染.由于蚊子数量的增加，疫情通常发生在暴雨季节之后.为马接种 TC-83 疫苗和防止蚊子（防护服、杀虫剂）是减少 VEE 爆发的一些拟议方法",GCF_000862105.1??GCF_002889695.1?,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002889695.1?/https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000862105.1?/,24.7 ~ 50.8,174  Kb,,,,no,"通过从具有 CNS 并发症的感染个体的 CSF 中分离病毒来确认感染，并通过血清中和 （SN）、补体结合 （CF） 和血凝抑制 （HI） 检测等血清学检测确定抗体滴度5,15,16.许多实验室技术可用于确认虫媒病毒感染，包括 PCR、ELISA 和血清学，以及组织切片的免疫组织化学 （IHC） 染色",有,研究性 TC-83 减毒活疫苗；福尔马林灭活疫苗 （C-84）仅供研究人员使用,无,,,与其他包膜病毒一样，VEE 病毒对 1% 次氯酸钠、4% 甲醛、2% 戊二醛、70% 乙醇、3-6% 过氧化氢和 2% 过氧乙酸等消毒剂敏感；使用湿热或干热可以灭活微生物；Toga 病毒可通过在 65°C 下加热 15 分钟来灭活,,,,,
